,pH,sulphates,alcohol,quality,pH_cat,alcohol_cat,alcohol_kmeans,sulphates_cat
0,3.51,0.56,9.4,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
1,3.2,0.68,9.8,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
2,3.26,0.65,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
3,3.16,0.58,9.8,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
4,3.51,0.56,9.4,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
5,3.51,0.56,9.4,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
6,3.3,0.46,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
7,3.39,0.47,10.0,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
8,3.36,0.57,9.5,7,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
9,3.35,0.8,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
10,3.28,0.54,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
11,3.35,0.8,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
12,3.58,0.52,9.9,5,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
14,3.16,0.88,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.842, 0.945]"
15,3.17,0.93,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.842, 0.945]"
16,3.3,0.75,10.5,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
18,3.38,0.5,9.0,4,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
19,3.04,1.08,9.2,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(1.047, 1.15]"
20,3.39,0.53,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
21,3.52,0.65,9.7,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
22,3.17,0.91,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
23,3.17,0.53,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
24,3.43,0.63,9.7,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
25,3.34,0.56,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
26,3.28,0.59,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
27,3.17,0.91,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
28,3.47,0.55,9.4,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
29,3.38,0.59,9.8,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
30,3.35,0.54,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
31,3.46,0.57,10.6,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
32,3.17,0.66,9.8,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
33,3.45,0.52,9.4,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
34,3.38,0.55,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
35,3.4,0.55,9.6,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
36,3.42,0.6,10.8,6,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
37,3.23,0.73,9.7,7,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
38,3.5,0.48,9.8,4,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
39,3.33,0.83,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
40,3.33,0.83,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
41,3.26,0.51,9.3,4,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
42,3.21,0.9,10.5,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
44,3.48,0.52,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
46,3.25,0.73,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
47,3.25,0.58,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
48,3.34,0.56,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
49,3.32,0.58,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
50,3.15,0.74,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
51,3.4,0.63,9.4,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
52,3.39,0.64,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
53,3.2,0.56,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
54,3.17,0.63,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
55,3.34,0.53,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
56,3.04,0.63,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
57,3.26,0.77,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
58,3.43,0.59,10.0,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
59,3.41,0.54,9.4,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
60,3.44,0.64,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
61,3.21,0.71,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
62,3.38,0.62,9.5,7,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
63,3.39,0.57,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
64,3.41,0.39,10.9,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.33, 0.432]"
65,3.41,0.39,10.9,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.33, 0.432]"
66,3.42,0.58,9.6,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
67,3.44,0.58,10.7,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
68,3.28,0.79,10.7,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
69,3.34,0.95,10.5,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
70,3.32,0.54,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
71,3.32,0.48,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
72,3.31,0.48,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
73,3.31,0.53,9.2,4,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
74,3.28,0.82,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
75,3.54,0.66,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
76,3.54,0.66,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
77,3.52,0.55,10.7,6,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
78,3.38,0.52,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
79,3.16,1.12,9.1,4,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(1.047, 1.15]"
80,3.41,0.56,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
82,3.36,0.57,9.1,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
83,3.16,1.14,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(1.047, 1.15]"
84,3.44,0.78,10.3,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
85,3.41,0.59,10.1,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
87,3.39,0.64,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
89,3.48,0.53,9.0,5,"(3.394, 3.572]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
90,3.23,0.54,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
93,3.39,0.64,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
94,3.75,0.48,10.5,4,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
96,3.45,0.56,10.7,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
97,3.25,0.63,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
98,3.39,0.56,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
99,3.3,0.59,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
100,3.4,0.61,10.2,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
101,3.31,0.56,10.4,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
102,3.3,0.59,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
103,3.29,0.51,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
104,3.33,0.48,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
105,3.29,0.51,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
107,3.46,0.79,9.3,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.74, 0.842]"
108,3.37,0.8,9.6,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
109,3.21,0.69,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
110,3.19,0.93,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
111,3.15,0.66,9.8,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
112,3.15,0.66,9.8,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
113,3.32,0.67,9.7,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
114,3.19,0.93,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
115,3.07,0.63,10.5,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
116,3.39,0.61,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
117,3.37,0.5,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
118,3.21,0.6,10.9,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
119,3.34,0.54,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
120,3.3,0.57,9.0,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
121,3.21,0.6,10.9,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
122,3.49,0.52,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
123,3.44,0.53,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
124,3.39,0.48,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
125,3.16,0.7,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
126,3.53,0.49,10.9,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
127,3.54,0.48,10.9,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
128,3.42,0.92,10.5,7,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
129,3.42,0.57,9.4,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
130,3.24,0.66,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
131,3.63,0.63,13.0,5,"(3.572, 3.75]","(12.857, 13.6]",6.0,"(0.535, 0.638]"
132,3.63,0.63,13.0,5,"(3.572, 3.75]","(12.857, 13.6]",6.0,"(0.535, 0.638]"
133,3.4,0.58,9.8,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
134,3.22,0.55,9.9,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
135,3.19,0.82,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
136,3.23,0.77,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
137,3.48,0.64,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
138,3.33,0.54,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
139,3.32,0.54,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
140,3.19,0.82,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
141,3.23,0.77,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
143,3.34,0.58,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
145,3.17,0.62,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
146,3.54,0.52,10.0,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
147,3.11,0.8,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.74, 0.842]"
148,3.42,0.58,10.2,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
149,3.53,0.61,10.5,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
150,3.33,0.53,10.3,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
152,3.35,0.54,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
153,3.35,0.54,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
154,3.42,0.72,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
155,3.42,0.71,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
156,3.42,0.72,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
157,3.42,0.71,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
158,3.48,0.5,9.3,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
159,3.59,0.57,9.3,6,"(3.572, 3.75]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
160,3.2,0.56,9.6,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
161,3.17,1.08,9.2,4,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(1.047, 1.15]"
162,3.33,0.56,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
163,3.37,0.49,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
164,3.37,0.49,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
165,3.19,0.62,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
166,3.34,0.52,10.2,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
167,3.37,0.48,9.0,4,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
168,3.47,0.55,10.4,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
170,3.36,0.33,9.1,4,"(3.216, 3.394]","(8.4, 9.143]",0.0,
171,3.29,0.61,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
172,3.29,0.61,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
173,3.42,0.57,11.5,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
174,3.33,0.47,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
175,3.35,0.78,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
176,3.33,0.47,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
177,3.58,0.61,10.5,6,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
